Time,Alpha,Beta,Theta,Gamma,Delta,B/A,T/A,G/B,T/B,D/B,(B+G)/(A+T),Spectral Entropy,Sample Entropy,Delta RP,Theta RP,Alpha RP,Beta RP,FAA,Engagement,ZCR,Spectral_Entropy_New,Rule_Label,ML_Label
10:58:18,0.06680652803355461,0.14797308903726047,0.04701955248709383,0.05630239370445352,0.03922896059275008,2.214949547489412,0.703816735745907,0.380490764035319,0.317757457068792,0.26510874948938856,1.7946123348446774,6.1576859125788825,0.7361530439360349,0.1303165939113953,0.15619654038166272,0.22192785770591997,0.491559008001022,-0.269631150295102,1.2999814135654466,3,2.133989106570262,Alert,Focused
10:58:19,0.07833856071448941,0.1374795079678055,0.0451864831432031,0.07480496053326496,0.04801807874932065,1.7549404369179002,0.5768102289738067,0.5441171679984667,0.32867795216276685,0.34927444430893195,1.7185401707321866,6.258151608333157,0.7090254996708455,0.15538693285990524,0.14622386412008365,0.2535042840350249,0.44488491898498606,-0.19138063494996116,1.1129596939588544,2,2.1968016544993456,Alert,Focused
10:58:20,0.08872794128735667,0.1587368231174574,0.07105115806322151,0.05875685594755464,0.04391152478982695,1.7890285834917334,0.8007754607211425,0.3701526513736354,0.44760350287876915,0.2766309916466867,1.3612063076003151,6.183711030962946,0.7307974235887633,0.12115949032575463,0.19604243166679788,0.24481573335208207,0.43798234465536534,-0.19316661130328328,0.9934705496031035,3,2.1735446616206184,Alert,Focused
10:58:21,0.06007413831245106,0.16786937274894853,0.04667897531819756,0.0507679745958487,0.030708287415997303,2.7943700478206557,0.7770228026478876,0.30242547383418805,0.2780672528514582,0.1829296608019264,2.0480461118458244,6.28359419907088,0.7728218514123305,0.10057383680740661,0.1528800216824757,0.1967510106029078,0.5497951309072098,-0.353044120304302,1.5724862212780715,3,2.0343972382885918,Acute Stress,Stressed
10:58:22,0.049925087511600234,0.17109975748624623,0.05113604922555355,0.04862656226187554,0.04984983559808089,3.4271298462219164,1.0242555751889657,0.28420006536703807,0.2988668714487459,0.2913495397682726,2.174170533516368,6.18795017875242,0.7531825496180579,0.1548079954531859,0.15880231461200936,0.15504168926072165,0.5313480006740832,-0.3763063114133615,1.6930154359515368,2,2.072352981144335,Acute Stress,Focused
10:58:23,0.06909231132107677,0.16644057729207146,0.02901194010957708,0.05212568479441363,0.03280905623530685,2.4089594646589623,0.41990113740379276,0.3131789473605526,0.17430809590780655,0.19712174019760345,2.227875255393231,6.237041581409783,0.6464763414530937,0.11033673308131638,0.09756704579014248,0.2323571838680645,0.5597390372604768,-0.3273818533924123,1.696551151593763,2,1.999953967116623,Alert,Focused
10:58:24,0.06602440663967613,0.22267696820224747,0.044274252862003184,0.05497450001569973,0.02281598568927872,3.3726462612150754,0.6705740364109142,0.24688004538380845,0.1988272663286437,0.1024622612454288,2.517246829884547,6.104167780898148,0.7498540435852998,0.0641273847679582,0.12443871973191563,0.1855704411073591,0.625863454392767,-0.44029301328540793,2.018836406279724,3,1.8691171108461915,Acute Stress,Stressed
10:58:25,0.08115895637592872,0.15864803542585618,0.03995381567334912,0.04556774404754851,0.062045941960001016,1.9547816101897322,0.4922908999504976,0.28722539125827684,0.2518393345754442,0.3910917761663557,1.6861482886546952,6.099300271226412,0.7887336997042592,0.1815234545910438,0.11689007235631313,0.23744105846373972,0.46414541458890346,-0.22670435612516374,1.3099091271082424,2,2.1243329106169755,Alert,Focused
10:58:26,19.29625482545444,44.79043334304437,1.9832039388938574,38.33518372498611,10.423651071761778,2.321198271281097,0.10277662462654338,0.855878830896359,0.0442774001248156,0.23272047832018788,3.906378168833943,6.265234995424693,0.020735473521915473,0.13626837819956505,0.02592642276027172,0.2522599166345446,0.5855452824056187,-0.33328536577107404,2.1048670332357995,2,1.9059317802904792,Alert,Focused
10:58:26,0.03242727974691786,0.13508779579840705,0.043527055829052315,0.03154172837358675,0.03218708589765247,4.165868887329251,1.3422974781962544,0.23349058430605238,0.32221308795361653,0.2382679035320526,2.193783002977213,6.07595879187426,0.5981113821910498,0.13233231705734658,0.17895488180752264,0.13331983760261376,0.5553929635325171,-0.4220731259299033,1.7785162131670509,2,2.0094189800979634,Acute Stress,Focused
10:58:27,0.032970544543260406,0.06777058602114105,0.05085930521555557,0.029320724365449954,0.0737449062451582,2.0554888298013934,1.5425679472422256,0.4326467585259385,0.7504628217275559,1.0881550621703855,1.1581811548603624,5.872234845137679,0.6500678315734992,0.3272528536975003,0.22569494784537056,0.14631118729574524,0.3007410111613839,-0.15442982386563867,0.8084206019158722,1,2.2310345046368223,Functional Stress,Focused
10:58:28,0.03582692060267046,0.06238624683484062,0.05482896239287834,0.038622639662537206,0.070993525194601,1.7413231666410784,1.530384455894083,0.6190890079473055,0.8788629734055137,1.1379675617054994,1.1141888311154189,5.93329982998615,0.6963095616735377,0.3168849404202287,0.2447331983240005,0.15991615530427103,0.2784657059514997,-0.11854955064722869,0.6881578626291811,1,2.273245905616898,Transitional,Focused
10:58:29,0.020900029729593917,0.04741282076909338,0.052076271257102576,0.01891602527890552,0.05253753620204664,2.268552790714839,2.4916840756146814,0.39896435124644936,1.098358427369694,1.1080871239007544,0.9088969467381429,5.824521778485007,0.49834142040346485,0.30381397999871423,0.30114657781566545,0.1208606583647145,0.2741787838209058,-0.15331812545619133,0.6496927144200163,1,2.198743034668818,Functional Stress,Focused
